Results for track_01.txt:
Iteration 32: Moves: 148, Runtime: 93.65ms
Iteration 33: Moves: 148, Runtime: 100.85ms
Iteration 34: Moves: 148, Runtime: 100.39ms
Iteration 35: Moves: 148, Runtime: 96.77ms
Iteration 36: Moves: 148, Runtime: 123.00ms
Iteration 37: Moves: 148, Runtime: 103.08ms
Iteration 38: Moves: 148, Runtime: 97.78ms
Iteration 39: Moves: 148, Runtime: 101.88ms
Iteration 40: Moves: 148, Runtime: 99.16ms
Iteration 41: Moves: 148, Runtime: 97.04ms
Iteration 42: Moves: 148, Runtime: 96.89ms
Iteration 43: Moves: 148, Runtime: 99.71ms
Iteration 44: Moves: 148, Runtime: 99.46ms
Iteration 45: Moves: 148, Runtime: 100.96ms
Iteration 46: Moves: 148, Runtime: 96.56ms
Iteration 47: Moves: 148, Runtime: 94.74ms
Iteration 48: Moves: 148, Runtime: 99.85ms
Iteration 49: Moves: 148, Runtime: 96.38ms
Iteration 50: Moves: 148, Runtime: 96.09ms
Iteration 51: Moves: 148, Runtime: 95.52ms
Iteration 52: Moves: 148, Runtime: 95.11ms
Iteration 53: Moves: 148, Runtime: 102.50ms
Iteration 54: Moves: 148, Runtime: 98.49ms
Iteration 55: Moves: 148, Runtime: 101.35ms
Iteration 56: Moves: 148, Runtime: 101.02ms
Iteration 57: Moves: 148, Runtime: 101.73ms
Iteration 58: Moves: 148, Runtime: 96.86ms
Iteration 59: Moves: 148, Runtime: 101.81ms
Iteration 60: Moves: 148, Runtime: 95.32ms
Iteration 61: Moves: 148, Runtime: 93.71ms
Iteration 62: Moves: 148, Runtime: 98.37ms
Iteration 63: Moves: 148, Runtime: 95.23ms
Iteration 64: Moves: 148, Runtime: 97.69ms
Iteration 65: Moves: 148, Runtime: 101.55ms
Iteration 66: Moves: 148, Runtime: 104.57ms
Iteration 67: Moves: 148, Runtime: 106.58ms
Iteration 68: Moves: 148, Runtime: 105.92ms
Iteration 69: Moves: 148, Runtime: 104.76ms
Iteration 70: Moves: 148, Runtime: 102.53ms
Iteration 71: Moves: 148, Runtime: 98.82ms
Iteration 72: Moves: 148, Runtime: 95.40ms
Iteration 73: Moves: 148, Runtime: 100.37ms
Iteration 74: Moves: 148, Runtime: 100.29ms
Iteration 75: Moves: 148, Runtime: 103.86ms
Iteration 76: Moves: 148, Runtime: 96.81ms
Iteration 77: Moves: 148, Runtime: 99.60ms
Iteration 78: Moves: 148, Runtime: 102.75ms
Iteration 79: Moves: 148, Runtime: 98.85ms
Iteration 80: Moves: 148, Runtime: 103.12ms
Iteration 81: Moves: 148, Runtime: 97.36ms
Iteration 82: Moves: 148, Runtime: 94.04ms
Iteration 83: Moves: 148, Runtime: 103.75ms
Iteration 84: Moves: 148, Runtime: 100.97ms
Iteration 85: Moves: 148, Runtime: 98.49ms
Iteration 86: Moves: 148, Runtime: 95.65ms
Iteration 87: Moves: 148, Runtime: 96.37ms
Iteration 88: Moves: 148, Runtime: 102.24ms
Iteration 89: Moves: 148, Runtime: 94.57ms
Iteration 90: Moves: 148, Runtime: 93.02ms
Iteration 91: Moves: 148, Runtime: 97.21ms
Iteration 92: Moves: 148, Runtime: 93.54ms
Iteration 93: Moves: 148, Runtime: 96.68ms
Iteration 94: Moves: 148, Runtime: 93.88ms
Iteration 95: Moves: 148, Runtime: 95.58ms
Iteration 96: Moves: 148, Runtime: 97.01ms
Iteration 97: Moves: 148, Runtime: 92.74ms
Iteration 98: Moves: 148, Runtime: 92.77ms
Iteration 99: Moves: 148, Runtime: 95.58ms
Iteration 100: Moves: 148, Runtime: 95.48ms
Best Moves: 148 moves
Average Moves: 148.00 moves
Deviation Moves: 0.00 moves
Best Runtime: 91.60ms
Average Runtime: 98.23ms
Deviation Runtime: 4.15ms

Results for track_05.txt:
Iteration 1: Moves: 336, Runtime: 84.12ms
Iteration 2: Moves: 336, Runtime: 86.88ms
Iteration 3: Moves: 336, Runtime: 84.85ms
Iteration 4: Moves: 336, Runtime: 85.76ms
Iteration 5: Moves: 336, Runtime: 89.03ms
Iteration 6: Moves: 336, Runtime: 85.69ms
Iteration 7: Moves: 336, Runtime: 80.28ms
Iteration 8: Moves: 336, Runtime: 82.04ms
Iteration 9: Moves: 336, Runtime: 85.24ms
Iteration 10: Moves: 336, Runtime: 88.72ms
Iteration 11: Moves: 336, Runtime: 86.20ms
Iteration 12: Moves: 336, Runtime: 85.54ms
Iteration 13: Moves: 336, Runtime: 85.08ms
Iteration 14: Moves: 336, Runtime: 80.88ms
Iteration 15: Moves: 336, Runtime: 83.49ms
Iteration 16: Moves: 336, Runtime: 88.12ms
Iteration 17: Moves: 336, Runtime: 86.97ms
Iteration 18: Moves: 336, Runtime: 85.48ms
Iteration 19: Moves: 336, Runtime: 85.36ms
Iteration 20: Moves: 336, Runtime: 87.62ms
Iteration 21: Moves: 336, Runtime: 88.05ms
Iteration 22: Moves: 336, Runtime: 79.41ms
Iteration 23: Moves: 336, Runtime: 80.33ms
Iteration 24: Moves: 336, Runtime: 84.46ms
Iteration 25: Moves: 336, Runtime: 81.15ms
Iteration 26: Moves: 336, Runtime: 83.82ms
Iteration 27: Moves: 336, Runtime: 88.81ms
Iteration 28: Moves: 336, Runtime: 86.70ms
Iteration 29: Moves: 336, Runtime: 87.02ms
Iteration 30: Moves: 336, Runtime: 87.51ms
Iteration 31: Moves: 336, Runtime: 85.65ms
Iteration 32: Moves: 336, Runtime: 85.10ms
Iteration 33: Moves: 336, Runtime: 84.97ms
Iteration 34: Moves: 336, Runtime: 83.10ms
Iteration 35: Moves: 336, Runtime: 84.75ms
Iteration 36: Moves: 336, Runtime: 84.75ms
Iteration 37: Moves: 336, Runtime: 80.36ms
Iteration 38: Moves: 336, Runtime: 87.26ms
Iteration 39: Moves: 336, Runtime: 80.30ms
Iteration 40: Moves: 336, Runtime: 84.92ms
Iteration 41: Moves: 336, Runtime: 81.40ms
Iteration 42: Moves: 336, Runtime: 83.50ms
Iteration 43: Moves: 336, Runtime: 81.61ms
Iteration 44: Moves: 336, Runtime: 85.05ms
Iteration 45: Moves: 336, Runtime: 81.38ms
Iteration 46: Moves: 336, Runtime: 84.76ms
Iteration 47: Moves: 336, Runtime: 87.02ms
Iteration 48: Moves: 336, Runtime: 88.15ms
Iteration 49: Moves: 336, Runtime: 85.35ms
Iteration 50: Moves: 336, Runtime: 81.76ms
Iteration 51: Moves: 336, Runtime: 82.80ms
Iteration 52: Moves: 336, Runtime: 84.43ms
Iteration 53: Moves: 336, Runtime: 82.10ms
Iteration 54: Moves: 336, Runtime: 85.63ms
Iteration 55: Moves: 336, Runtime: 78.48ms
Iteration 56: Moves: 336, Runtime: 86.66ms
Iteration 57: Moves: 336, Runtime: 83.63ms
Iteration 58: Moves: 336, Runtime: 83.30ms
Iteration 59: Moves: 336, Runtime: 78.74ms
Iteration 60: Moves: 336, Runtime: 81.80ms
Iteration 61: Moves: 336, Runtime: 84.97ms
Iteration 62: Moves: 336, Runtime: 85.92ms
Iteration 63: Moves: 336, Runtime: 89.17ms
Iteration 64: Moves: 336, Runtime: 81.28ms
Iteration 65: Moves: 336, Runtime: 84.14ms
Iteration 66: Moves: 336, Runtime: 88.00ms
Iteration 67: Moves: 336, Runtime: 80.10ms
Iteration 68: Moves: 336, Runtime: 84.21ms
Iteration 69: Moves: 336, Runtime: 85.75ms
Iteration 70: Moves: 336, Runtime: 81.44ms
Iteration 71: Moves: 336, Runtime: 77.63ms
Iteration 72: Moves: 336, Runtime: 86.77ms
Iteration 73: Moves: 336, Runtime: 82.26ms
Iteration 74: Moves: 336, Runtime: 80.23ms
Iteration 75: Moves: 336, Runtime: 88.26ms
Iteration 76: Moves: 336, Runtime: 85.70ms
