Results for track_01.txt:
Iteration 26: Moves: 103, Runtime: 1599.88ms
Iteration 27: Moves: 103, Runtime: 1590.00ms
Iteration 28: Moves: 103, Runtime: 1591.94ms
Iteration 29: Moves: 103, Runtime: 1599.56ms
Iteration 30: Moves: 103, Runtime: 1636.67ms
Iteration 31: Moves: 103, Runtime: 1628.73ms
Iteration 32: Moves: 103, Runtime: 1584.94ms
Iteration 33: Moves: 103, Runtime: 1620.94ms
Iteration 34: Moves: 103, Runtime: 1650.09ms
Iteration 35: Moves: 103, Runtime: 1595.48ms
Iteration 36: Moves: 103, Runtime: 1602.23ms
Iteration 37: Moves: 103, Runtime: 1635.21ms
Iteration 38: Moves: 103, Runtime: 1614.39ms
Iteration 39: Moves: 103, Runtime: 1616.86ms
Iteration 40: Moves: 103, Runtime: 1633.82ms
Iteration 41: Moves: 103, Runtime: 1597.46ms
Iteration 42: Moves: 103, Runtime: 1636.31ms
Iteration 43: Moves: 103, Runtime: 1600.11ms
Iteration 44: Moves: 103, Runtime: 1609.61ms
Iteration 45: Moves: 103, Runtime: 1670.43ms
Iteration 46: Moves: 103, Runtime: 1604.36ms
Iteration 47: Moves: 103, Runtime: 1590.99ms
Iteration 48: Moves: 103, Runtime: 1586.65ms
Iteration 49: Moves: 103, Runtime: 1569.38ms
Iteration 50: Moves: 103, Runtime: 1612.72ms
Best Moves: 103 moves
Average Moves: 103.00 moves
Deviation Moves: 0.00 moves
Best Runtime: 1552.00ms
Average Runtime: 1600.79ms
Deviation Runtime: 24.90ms

Results for track_06.txt:
Iteration 1: Moves: 99, Runtime: 1395.41ms
Iteration 2: Moves: 99, Runtime: 1342.38ms
Iteration 3: Moves: 99, Runtime: 1659.80ms
Iteration 4: Moves: 99, Runtime: 1334.79ms
Iteration 5: Moves: 99, Runtime: 1346.63ms
Iteration 6: Moves: 99, Runtime: 1329.92ms
Iteration 7: Moves: 99, Runtime: 1332.54ms
Iteration 8: Moves: 99, Runtime: 1326.82ms
Iteration 9: Moves: 99, Runtime: 1322.73ms
Iteration 10: Moves: 99, Runtime: 1353.00ms
Iteration 11: Moves: 99, Runtime: 1330.52ms
Iteration 12: Moves: 99, Runtime: 1339.78ms
Iteration 13: Moves: 99, Runtime: 1322.00ms
Iteration 14: Moves: 99, Runtime: 1322.79ms
Iteration 15: Moves: 99, Runtime: 1327.00ms
Iteration 16: Moves: 99, Runtime: 1369.54ms
Iteration 17: Moves: 99, Runtime: 1383.25ms
Iteration 18: Moves: 99, Runtime: 1334.58ms
Iteration 19: Moves: 99, Runtime: 1330.11ms
Iteration 20: Moves: 99, Runtime: 1351.25ms
Iteration 21: Moves: 99, Runtime: 1337.19ms
Iteration 22: Moves: 99, Runtime: 1343.06ms
Iteration 23: Moves: 99, Runtime: 1322.65ms
Iteration 24: Moves: 99, Runtime: 1335.05ms
Iteration 25: Moves: 99, Runtime: 1343.43ms
Iteration 26: Moves: 99, Runtime: 1340.83ms
Iteration 27: Moves: 99, Runtime: 1347.12ms
